author_did,kmeans_cluster,dbscan_cluster
did:plc:2j244gxfgleeadbjfpemyvvt,0,0
did:plc:2j2rh2eid2bcgyzzloewu4bt,1,-1
did:plc:2j3ubh5o227zn4lsd5nz2es3,0,0
did:plc:2j3zydxmoz5yvy2pv5ajjzqr,0,0
did:plc:2j5tm55wq2gdpkjo7zqqjb5i,0,0
did:plc:2j6t6fhbrfzpmetnoxmudrfj,0,0
did:plc:2jbzuvn7bvztoksea2a3mtgj,0,0
did:plc:2jfkxzonw3ylpnmn24wav36f,0,0
did:plc:2jfr7qhenekca6f6qtjgwdr4,0,-1
did:plc:2jgwvodmjjwbd3jnmzo5uexj,0,0
did:plc:2jjromh55tf7pp7s4hsvurf4,0,0
did:plc:2jkz6trrzzoxow5rrmlxpdim,0,-1
did:plc:2jlrju6yvwdmjiqmyiggcuf5,0,0
did:plc:2jmdt5r4k5xgshbncsu2djlc,0,0
did:plc:2jnl6yakniditi57ykhcxyqj,0,0
did:plc:2jp2b5fdze5yvkh236z2xa6q,0,0
did:plc:2jq6oaaxwk6dybglgaiuonz3,0,0
did:plc:2jsglkmrwyc6lvo26opqc2x3,0,0
did:plc:2jtya2svlwcpos5drug4lsvx,1,-1
did:plc:2juiu7f6b2dtqowkauyxe2be,0,0
did:plc:2jusrdx2sgzq7j732ktbonqs,0,0
did:plc:2jv2fg6b6vwjh7fttdoxlykl,0,0
did:plc:2jw3pqcuka4huv3ecivhkaul,0,0
did:plc:2jxiepcv6udfo64cqpgrrako,0,-1
did:plc:2jxqlaczscaxsj5soxpbcfjc,0,0
did:plc:2k277ixkkvy5xfgzrr7srt3k,0,0
did:plc:2k2vy5qtz2b4smmzvac2zkjz,0,0
did:plc:2k3njk5tycyaigddvhxjwkel,0,0
did:plc:2k4gd7q6dgvluofhwbgf6adw,0,0
did:plc:2k4hdl4wgyghztvj5jv75qvn,0,0
did:plc:2k6xrrbwnmagf4lhkcsgriiq,0,0
did:plc:2kf2rrjpwolkmqhhnvkcat5d,0,0
did:plc:2kgntru6wynlsnbonmhe5i6t,0,0
did:plc:2kgxe7pxseg4xrhyjdzdk2jf,0,0
did:plc:2khvhle5nsvsxnwe5qii3dv5,0,0
did:plc:2ki26rmuxrtgahlvlgsvwkwv,0,0
did:plc:2kihbda6tf22mxtkxtiadvhg,0,0
did:plc:2kmoii3ybdooytuskjn6z36x,0,0
did:plc:2kn64fwuvvbm23rjgtxt726l,0,0
did:plc:2knixvykfu4nq7rsplgfelgw,0,0
did:plc:2knjygcicnv4v76cnexj6r3p,0,0
did:plc:2kodsyng2lct6jn3iujjpgkb,0,0
did:plc:2kqt3yykuaj7y65j6knuglsu,0,0
did:plc:2kra6lpzfu74akumuk5c6glv,0,0
did:plc:2krdhrw7if7qnptty37w7twe,0,0
did:plc:2ksu4k4c6ilw6lna7klshibk,0,0
did:plc:2kubgcwioilczytbqoigxa4k,0,-1
did:plc:2kus7sw6koms6cwmsndrgzsp,0,0
did:plc:2kux35zzevr3uzdd4gw5sy2a,0,0
did:plc:2kwnbo7zlzbmqhswdhpv6qzk,0,0
did:plc:2ky2awbs3xyxq25soigcigzh,0,0
did:plc:2l46wx5svu2v7bhe4sj2eiym,0,0
did:plc:2l5atkf45rwpfasxfirvlpjc,0,0
did:plc:2lbpk65p7hmxugtemvh272o5,0,0
did:plc:2lda3r3dzz5sv2gwc6ootl6d,0,0
did:plc:2lez2ks3ux5nhwko6fso7tym,0,0
did:plc:2lfzbk4eiy62o5blp4u6uywu,0,0
did:plc:2lgpsrgbct2ryvzv5t5oz7za,0,0
did:plc:2lgxuixp2dd6qweqogreuopw,0,-1
did:plc:2liixcqvv5aklq2545kj7mrb,0,0
did:plc:2lmhwpospn5uzu6asebaokyf,0,0
did:plc:2lmuxacapc2hwfwkjiqeqpwv,0,0
did:plc:2ln5gb77zyqmqvkilb3vubuk,0,0
did:plc:2lnkrpkxhlglrnshbpriq7xv,0,0
did:plc:2lnzohxdi7dw7z3e7747qjnm,0,-1
did:plc:2loweh7wjbpqka64a77bwu6p,0,-1
did:plc:2lr6vz6oda5xryr4rnoqw7s7,0,0
did:plc:2ls3yixsznvqkoxw4ecz4p23,0,0
did:plc:2lt3t6u6e7wqgb2vhpkmfdvu,0,0
did:plc:2lta7o7zhydot7r7tywxnhbh,0,0
did:plc:2lwv5jyabj66wqmmhqoar7mg,0,0
did:plc:2lxmyfaoxhu756adhqmh3d3a,0,0
did:plc:2lzahebnas6od6j6jfydwst7,1,-1
did:plc:2m3sewfb2st4g2tlv5dwd2xl,0,0
did:plc:2m43trueq4kqehmlzry5zyml,0,0
did:plc:2m5jgyuvxuvaw7clapizyqxj,0,0
did:plc:2m6al55cwyrwlwu5bphiracx,0,0
did:plc:2m7ria2ya63ojxisv3wi3yrw,0,0
did:plc:2map6lhwwhxivqlruwiux6g3,0,0
did:plc:2mby7ss2m7mssqqw7lmfaewh,0,0
did:plc:2mcjyvetpmuq7dcffvemmz4o,0,0
did:plc:2mesyysnkzwvlq37vh6tygbs,0,0
did:plc:2mgis3tp472bn3r3n24ys44m,0,0
did:plc:2mhcf74vqcaa4hz36njfdtn5,0,0
did:plc:2mhpupqtyce2zm4sj6knyazu,0,0
did:plc:2mipg73g4dqsnpc5u5ewihet,0,0
did:plc:2miy4iyutrqwqt447tyqvu6i,0,0
did:plc:2mjiozysq2ofvxhodz23y24k,0,0
did:plc:2ml22ojreuq5ofnlhod7y3nd,0,0
did:plc:2mlkdmbyrdjh4ctewyoq4zw6,0,0
did:plc:2mqpov6oyvldqgcw4occovjy,0,0
did:plc:2mrsu3dounclco6n6qhwasyd,0,0
did:plc:2mxxhnrvquk5lpisifb56i2t,0,0
did:plc:2myl3qm7rvawzin2e5wup6vb,0,0
did:plc:2n2x2gbwkosz4ux2lxd6vzxd,0,0
did:plc:2n3f26mcygebt4xgcp6x22xr,0,0
did:plc:2n57zztc63fpp7mi6ixmjtzf,0,0
did:plc:2n5pfqn5ifeozic6h2g6hh2j,0,0
did:plc:2n67y4ygoid7nwmv6ztxboeq,0,0
did:plc:2n7erguqei3s6vlqxcki7eir,0,0
did:plc:2n7nmcmglb6r44l5yi6jb37o,0,0
did:plc:2n7ziit3ahlmdlt6s43rwoz5,0,0
did:plc:2na6tbixiohu2jctdm3znl6y,0,0
did:plc:2naw7l64yfupuiyf3ah6r2uf,0,0
did:plc:2ndbi7d2cnnwlytbfxlxqcgw,0,0
did:plc:2ndthrxu6wbvjtkfj45frl6i,0,0
did:plc:2nf7horzrkg52bgpljc4byz7,0,0
did:plc:2nh77crhn7hmv3w7oh7xoeqg,0,0
did:plc:2nhdx6aayjnhj6as64kwr5st,0,0
did:plc:2nhobbh7qwvfve6zgsnk2fd2,0,0
